;\rotatebox[origin=c]{90}{\textbf{\textcolor{t_darkgreen}{WL\textsubscript{ST}*}} ($T=1$)};\rotatebox[origin=c]{90}{\textbf{\textcolor{t_darkgreen}{WL\textsubscript{ST}*}} ($T=5$)};\rotatebox[origin=c]{90}{\textbf{WL\textsubscript{SP}} ($T=5$)};\rotatebox[origin=c]{90}{\textbf{\textcolor{t_darkgreen}{2-LWL*}} ($T=3$)};\rotatebox[origin=c]{90}{\textbf{2-GWL} ($T=3$)};\rotatebox[origin=c]{90}{\textbf{Baseline} ($\mathrm{sum}$)};\rotatebox[origin=c]{90}{\textbf{GIN} ($\mathrm{sum}$)};\rotatebox[origin=c]{90}{\textbf{2-GNN} ($\mean$)};\rotatebox[origin=c]{90}{\textbf{2-GNN} ($\mathrm{SAM}$)};\rotatebox[origin=c]{90}{\textbf{\textcolor{t_darkgreen}{2-WL-GNN*}} ($\mean$)};\rotatebox[origin=c]{90}{\textbf{2-WL-GNN} ($\mean$)};\rotatebox[origin=c]{90}{\textbf{\textcolor{t_darkgreen}{2-WL-GNN*}} ($\mathrm{SAM}$)};\rotatebox[origin=c]{90}{\textbf{2-WL-GNN} ($\mathrm{SAM}$)}
\textbf{\textcolor{t_darkgreen}{WL\textsubscript{ST}*}} ($T=1$);;\textcolor{t_red}{$-0.5 \pm 2.1$};\textcolor{t_red}{$-0.6 \pm 2.3$};\textcolor{t_darkgreen}{$3.3 \pm 4.0$};\textcolor{t_red}{$-0.4 \pm 3.6$};\textcolor{t_red}{$-1.2 \pm 4.7$};\textcolor{t_darkgreen}{$1.0 \pm 2.3$};\textcolor{t_red}{$-2.1 \pm 3.4$};\textcolor{t_red}{$-1.0 \pm 3.3$};\textcolor{t_red}{$-2.8 \pm 5.6$};\textcolor{t_red}{$-3.8 \pm 3.1$};\textcolor{t_red}{$-3.4 \pm 3.4$};\textcolor{t_red}{$-2.6 \pm 2.9$}
\textbf{\textcolor{t_darkgreen}{WL\textsubscript{ST}*}} ($T=5$);\textcolor{t_darkgreen}{$0.5 \pm 2.1$};;\textcolor{t_red}{$-0.1 \pm 2.4$};\textcolor{t_darkgreen}{$3.9 \pm 3.8$};\textcolor{t_darkgreen}{$0.2 \pm 3.3$};\textcolor{t_red}{$-0.7 \pm 4.9$};\textcolor{t_darkgreen}{$1.6 \pm 2.2$};\textcolor{t_red}{$-1.5 \pm 3.3$};\textcolor{t_red}{$-0.5 \pm 3.2$};\textcolor{t_red}{$-2.3 \pm 5.0$};\textcolor{t_red}{$-3.2 \pm 2.9$};\textcolor{t_red}{$-2.9 \pm 2.9$};\textcolor{t_red}{$-2.0 \pm 2.9$}
\textbf{WL\textsubscript{SP}} ($T=5$);\textcolor{t_darkgreen}{$0.6 \pm 2.3$};\textcolor{t_darkgreen}{$0.1 \pm 2.4$};;\textcolor{t_darkgreen}{$4.0 \pm 3.6$};\textcolor{t_darkgreen}{$0.3 \pm 3.3$};\textcolor{t_red}{$-0.6 \pm 3.5$};\textcolor{t_darkgreen}{$1.6 \pm 2.4$};\textcolor{t_red}{$-1.4 \pm 3.8$};\textcolor{t_red}{$-0.4 \pm 3.8$};\textcolor{t_red}{$-2.2 \pm 5.7$};\textcolor{t_red}{$-3.1 \pm 2.7$};\textcolor{t_red}{$-2.8 \pm 3.8$};\textcolor{t_red}{$-2.0 \pm 3.2$}
\textbf{\textcolor{t_darkgreen}{2-LWL*}} ($T=3$);\textcolor{t_red}{$-3.3 \pm 4.0$};\textcolor{t_red}{$-3.9 \pm 3.8$};\textcolor{t_red}{$-4.0 \pm 3.6$};;\textcolor{t_red}{$-3.7 \pm 4.6$};\textcolor{t_red}{$-4.6 \pm 5.7$};\textcolor{t_red}{$-2.3 \pm 4.0$};\textcolor{t_red}{$-5.4 \pm 3.1$};\textcolor{t_red}{$-4.3 \pm 4.6$};\textcolor{t_red}{$-6.1 \pm 4.8$};\textcolor{t_red}{$-7.1 \pm 3.8$};\textcolor{t_red}{$-6.8 \pm 4.5$};\textcolor{t_red}{$-5.9 \pm 3.4$}
\textbf{2-GWL} ($T=3$);\textcolor{t_darkgreen}{$0.4 \pm 3.6$};\textcolor{t_red}{$-0.2 \pm 3.3$};\textcolor{t_red}{$-0.3 \pm 3.3$};\textcolor{t_darkgreen}{$3.7 \pm 4.6$};;\textcolor{t_red}{$-0.9 \pm 4.9$};\textcolor{t_darkgreen}{$1.4 \pm 2.4$};\textcolor{t_red}{$-1.7 \pm 3.7$};\textcolor{t_red}{$-0.6 \pm 3.1$};\textcolor{t_red}{$-2.4 \pm 6.8$};\textcolor{t_red}{$-3.4 \pm 3.0$};\textcolor{t_red}{$-3.1 \pm 4.2$};\textcolor{t_red}{$-2.2 \pm 3.9$}
\textbf{Baseline} ($\mathrm{sum}$);\textcolor{t_darkgreen}{$1.2 \pm 4.7$};\textcolor{t_darkgreen}{$0.7 \pm 4.9$};\textcolor{t_darkgreen}{$0.6 \pm 3.5$};\textcolor{t_darkgreen}{$4.6 \pm 5.7$};\textcolor{t_darkgreen}{$0.9 \pm 4.9$};;\textcolor{t_darkgreen}{$2.3 \pm 4.1$};\textcolor{t_red}{$-0.8 \pm 5.9$};\textcolor{t_darkgreen}{$0.3 \pm 6.3$};\textcolor{t_red}{$-1.6 \pm 6.2$};\textcolor{t_red}{$-2.5 \pm 4.6$};\textcolor{t_red}{$-2.2 \pm 4.8$};\textcolor{t_red}{$-1.3 \pm 5.1$}
\textbf{GIN} ($\mathrm{sum}$);\textcolor{t_red}{$-1.0 \pm 2.3$};\textcolor{t_red}{$-1.6 \pm 2.2$};\textcolor{t_red}{$-1.6 \pm 2.4$};\textcolor{t_darkgreen}{$2.3 \pm 4.0$};\textcolor{t_red}{$-1.4 \pm 2.4$};\textcolor{t_red}{$-2.3 \pm 4.1$};;\textcolor{t_red}{$-3.1 \pm 3.0$};\textcolor{t_red}{$-2.0 \pm 3.0$};\textcolor{t_red}{$-3.8 \pm 5.5$};\textcolor{t_red}{$-4.8 \pm 2.2$};\textcolor{t_red}{$-4.4 \pm 3.7$};\textcolor{t_red}{$-3.6 \pm 2.8$}
\textbf{2-GNN} ($\mean$);\textcolor{t_darkgreen}{$2.1 \pm 3.4$};\textcolor{t_darkgreen}{$1.5 \pm 3.3$};\textcolor{t_darkgreen}{$1.4 \pm 3.8$};\textcolor{t_darkgreen}{$5.4 \pm 3.1$};\textcolor{t_darkgreen}{$1.7 \pm 3.7$};\textcolor{t_darkgreen}{$0.8 \pm 5.9$};\textcolor{t_darkgreen}{$3.1 \pm 3.0$};;\textcolor{t_darkgreen}{$1.1 \pm 2.6$};\textcolor{t_red}{$-0.7 \pm 6.0$};\textcolor{t_red}{$-1.7 \pm 2.1$};\textcolor{t_red}{$-1.4 \pm 3.7$};\textcolor{t_red}{$-0.5 \pm 2.7$}
\textbf{2-GNN} ($\mathrm{SAM}$);\textcolor{t_darkgreen}{$1.0 \pm 3.3$};\textcolor{t_darkgreen}{$0.5 \pm 3.2$};\textcolor{t_darkgreen}{$0.4 \pm 3.8$};\textcolor{t_darkgreen}{$4.3 \pm 4.6$};\textcolor{t_darkgreen}{$0.6 \pm 3.1$};\textcolor{t_red}{$-0.3 \pm 6.3$};\textcolor{t_darkgreen}{$2.0 \pm 3.0$};\textcolor{t_red}{$-1.1 \pm 2.6$};;\textcolor{t_red}{$-1.8 \pm 7.1$};\textcolor{t_red}{$-2.8 \pm 2.2$};\textcolor{t_red}{$-2.4 \pm 3.9$};\textcolor{t_red}{$-1.6 \pm 2.8$}
\textbf{\textcolor{t_darkgreen}{2-WL-GNN*}} ($\mean$);\textcolor{t_darkgreen}{$2.8 \pm 5.6$};\textcolor{t_darkgreen}{$2.3 \pm 5.0$};\textcolor{t_darkgreen}{$2.2 \pm 5.7$};\textcolor{t_darkgreen}{$6.1 \pm 4.8$};\textcolor{t_darkgreen}{$2.4 \pm 6.8$};\textcolor{t_darkgreen}{$1.6 \pm 6.2$};\textcolor{t_darkgreen}{$3.8 \pm 5.5$};\textcolor{t_darkgreen}{$0.7 \pm 6.0$};\textcolor{t_darkgreen}{$1.8 \pm 7.1$};;\textcolor{t_red}{$-0.9 \pm 6.2$};\textcolor{t_red}{$-0.6 \pm 5.5$};\textcolor{t_darkgreen}{$0.2 \pm 5.0$}
\textbf{2-WL-GNN} ($\mean$);\textcolor{t_darkgreen}{$3.8 \pm 3.1$};\textcolor{t_darkgreen}{$3.2 \pm 2.9$};\textcolor{t_darkgreen}{$3.1 \pm 2.7$};\textcolor{t_darkgreen}{$7.1 \pm 3.8$};\textcolor{t_darkgreen}{$3.4 \pm 3.0$};\textcolor{t_darkgreen}{$2.5 \pm 4.6$};\textcolor{t_darkgreen}{$4.8 \pm 2.2$};\textcolor{t_darkgreen}{$1.7 \pm 2.1$};\textcolor{t_darkgreen}{$2.8 \pm 2.2$};\textcolor{t_darkgreen}{$0.9 \pm 6.2$};;\textcolor{t_darkgreen}{$0.3 \pm 3.1$};\textcolor{t_darkgreen}{$1.2 \pm 2.1$}
\textbf{\textcolor{t_darkgreen}{2-WL-GNN*}} ($\mathrm{SAM}$);\textcolor{t_darkgreen}{$3.4 \pm 3.4$};\textcolor{t_darkgreen}{$2.9 \pm 2.9$};\textcolor{t_darkgreen}{$2.8 \pm 3.8$};\textcolor{t_darkgreen}{$6.8 \pm 4.5$};\textcolor{t_darkgreen}{$3.1 \pm 4.2$};\textcolor{t_darkgreen}{$2.2 \pm 4.8$};\textcolor{t_darkgreen}{$4.4 \pm 3.7$};\textcolor{t_darkgreen}{$1.4 \pm 3.7$};\textcolor{t_darkgreen}{$2.4 \pm 3.9$};\textcolor{t_darkgreen}{$0.6 \pm 5.5$};\textcolor{t_red}{$-0.3 \pm 3.1$};;\textcolor{t_darkgreen}{$0.8 \pm 2.8$}
\textbf{2-WL-GNN} ($\mathrm{SAM}$);\textcolor{t_darkgreen}{$2.6 \pm 2.9$};\textcolor{t_darkgreen}{$2.0 \pm 2.9$};\textcolor{t_darkgreen}{$2.0 \pm 3.2$};\textcolor{t_darkgreen}{$5.9 \pm 3.4$};\textcolor{t_darkgreen}{$2.2 \pm 3.9$};\textcolor{t_darkgreen}{$1.3 \pm 5.1$};\textcolor{t_darkgreen}{$3.6 \pm 2.8$};\textcolor{t_darkgreen}{$0.5 \pm 2.7$};\textcolor{t_darkgreen}{$1.6 \pm 2.8$};\textcolor{t_red}{$-0.2 \pm 5.0$};\textcolor{t_red}{$-1.2 \pm 2.1$};\textcolor{t_red}{$-0.8 \pm 2.8$};
